"","target_id","test_stat","pval","qval","rss","sigma_sq","tech_var","mean_obs","var_obs","sigma_sq_pmax","smooth_sigma_sq","final_sigma_sq","degrees_free","ens_gene","ext_gene","kallisto/D1_R1","kallisto/D2_R1","kallisto/D3_R1","kallisto/V1_R1","kallisto/V2_R1","kallisto/V3_R1"
"289","ENST00000216297.6",21.5143303146944,3.5119443328647e-06,0.000559572657492516,1.1702066703796,0.233922553170411,0.000118780905508162,8.41137434722185,0.234041334075919,0.233922553170411,0.0348399994747022,0.233922553170411,1,"ENSG00000092201","SUPT16H",24.8138,28.2562,28.1372,85.1021,76.7922,86.0153
"290","ENST00000305885.2",21.4900962301587,3.55660772832386e-06,0.000562102907331075,3.64230929783724,0.72587786916751,0.00258399039993838,6.58940759742677,0.728461859567449,0.72587786916751,0.0406306803954099,0.72587786916751,1,"ENSG00000168496","FEN1",8.7034,5.52614,5.78747,38.4511,39.2149,38.8452
"291","ENST00000273550.11",21.4933660759614,3.55054830116406e-06,0.000562102907331075,2.53380305451725,0.503821875068172,0.00293873583527774,7.56486229966655,0.506760610903449,0.503821875068172,0.0346225737357072,0.503821875068172,1,"ENSG00000167996","FTH1",128.055,127.221,161.711,48.433,45.102,53.473
"292","ENST00000295920.7",21.4790761844188,3.5771057502021e-06,0.000563406406018989,1.16853144958668,0.232857999732382,0.000848290184952986,6.94166004431463,0.233706289917336,0.232857999732382,0.0376327159582323,0.232857999732382,1,"ENSG00000163655","GMPS",14.1611,14.4978,15.6852,45.5128,43.1143,47.3073
"293","ENST00000354848.5",21.4534244947254,3.62527991425364e-06,0.000569045216847914,2.19827939878668,0.42536605881051,0.0142898209468261,6.30555387961669,0.439655879757336,0.42536605881051,0.0436692525151773,0.42536605881051,1,"ENSG00000117335","CD46",4.14125,4.01382,4.02157,17.5235,16.8756,17.8077
"294","ENST00000278353.9",21.4443509759506,3.64247550246467e-06,0.000569799628686573,2.12566042776264,0.423327596835561,0.00180448871696722,6.51332826368865,0.42513208555253,0.423327596835561,0.0413729538697067,0.423327596835561,1,"ENSG00000149084","HSD17B12",5.5948,6.7334,7.11907,27.5931,25.322,27.1696
"295","ENST00000265896.9",21.4355474090326,3.65923771843545e-06,0.000570481362401914,1.05475397665736,0.209888722232225,0.00106207309924726,7.66613096853449,0.210950795331473,0.209888722232225,0.0343925106821914,0.209888722232225,1,"ENSG00000104549","SQLE",23.5791,20.6764,18.9163,63.5013,63.21,57.8433
"296","ENST00000395124.5",21.3977962357029,3.73199901412083e-06,0.000575327996980789,1.22402984599268,0.239605123735617,0.00520084546292003,7.94472617910481,0.244805969198538,0.239605123735617,0.0341172275209096,0.239605123735617,1,"ENSG00000134802","SLC43A3",32.2272,31.8451,27.5006,98.0324,97.385,91.1979
"297","ENST00000375612.8",21.3759465845827,3.77477334259321e-06,0.000575327996980789,2.08943379185246,0.415049902251755,0.00283685611873589,5.9865569777577,0.417886758370491,0.415049902251755,0.0486279616705496,0.415049902251755,1,"ENSG00000204382","XAGE1B",53.2777,52.0367,39.7828,18.1253,18.5945,20.3305
"298","ENST00000374472.4",21.4025665331632,3.72272523880895e-06,0.000575327996980789,1.89143841325158,0.372739056316231,0.00554862633408567,5.83122908723894,0.378287682650316,0.372739056316231,0.0520735883640871,0.372739056316231,1,"ENSG00000188822","CNR2",5.29898,4.96177,4.56178,2.07301,1.98928,2.0794
"299","ENST00000298355.7",21.3779097638811,3.77091006043189e-06,0.000575327996980789,1.35351425445242,0.269100082295369,0.00160276859511564,6.20574858966447,0.270702850890485,0.269100082295369,0.0449858046006348,0.269100082295369,1,"ENSG00000100505","TRIM9",2.61587,2.47054,2.51408,8.5464,7.67305,8.85045
"300","ENST00000552766.5",21.3868387965473,3.75338888125606e-06,0.000575327996980789,1.02160466999526,0.2006102194801,0.00371071451895115,7.4545253771257,0.204320933999052,0.2006102194801,0.0349531545934014,0.2006102194801,1,"ENSG00000170515","PA2G4",53.0501,47.9156,47.4844,142.627,145.334,143.743
"301","ENST00000289316.2",21.3742171069839,3.77818002055314e-06,0.000575327996980789,2.36906122875767,0.468841773004621,0.00497047274691369,5.60718580841011,0.473812245751534,0.468841773004621,0.0586517170394176,0.468841773004621,1,"ENSG00000158373","HIST1H2BD",29.9866,30.9387,33.3968,11.9056,11.4881,10.9703
"302","ENST00000375595.8",21.3759465845827,3.77477334259321e-06,0.000575327996980789,2.08943379185246,0.415049902251755,0.00283685611873589,5.9865569777577,0.417886758370491,0.415049902251755,0.0486279616705496,0.415049902251755,1,"ENSG00000204379","XAGE1A",53.2777,52.0367,39.7828,18.1253,18.5945,20.3305
"303","ENST00000325110.10",21.3680251409239,3.79040210226303e-06,0.000575327996980789,1.59728807562973,0.31397164738183,0.00548596774411644,7.82584754956145,0.319457615125947,0.31397164738183,0.0341707445431156,0.31397164738183,1,"ENSG00000112972","HMGCS1",16.9504,19.6625,19.9127,67.4286,67.4174,65.0336
"304","ENST00000262942.9",21.3227833298486,3.88091540396833e-06,0.000587089380272105,1.26089914005799,0.251106807978493,0.00107302003310438,6.59961248169757,0.252179828011597,0.251106807978493,0.04053364165884,0.251106807978493,1,"ENSG00000241685","ARPC1A",37.3754,34.8854,29.2317,16.9892,17.0168,17.838
"305","ENST00000358625.3",21.3166166668406,3.89341960346572e-06,0.000587089380272105,1.09383386082855,0.217255171285608,0.00151160088010106,6.94828877323703,0.21876677216571,0.217255171285608,0.0375854607466053,0.217255171285608,1,"ENSG00000196363","WDR5",10.3161,9.8585,8.43543,27.9701,28.9362,28.2079
"306","ENST00000223136.4",21.3007674425577,3.92574301882591e-06,0.000588106994067825,16.9741666115597,3.35103423841663,0.0437990838953016,5.14274865335273,3.39483332231193,3.35103423841663,0.0760085155425819,3.35103423841663,1,"ENSG00000214253","FIS1",3.51993,2.27621,1.2404,76.9265,77.4851,76.5978
"307","ENST00000394610.5",21.3040634970619,3.91899883600858e-06,0.000588106994067825,1.97167406848288,0.388636969484898,0.00569784421167717,6.38261341048963,0.394334813696576,0.388636969484898,0.0427591262873696,0.388636969484898,1,"ENSG00000125354","SEPT6",2.96462,3.17712,3.17296,13.9004,11.0519,12.2625
"308","ENST00000333479.11",21.2715138337439,3.98611266111896e-06,0.000593285784458001,1.62536341103432,0.321422902171513,0.00364978003535081,6.16439535293675,0.325072682206865,0.321422902171513,0.0455858451801597,0.321422902171513,1,"ENSG00000184445","KNTC1",1.64628,1.85251,1.76584,6.22709,6.09375,6.61678
"309","ENST00000302472.3",21.2749248839799,3.97902568873969e-06,0.000593285784458001,1.38742877875083,0.275434181611263,0.00205157413890272,6.13169982448532,0.277485755750164,0.275434181611263,0.0460860447519995,0.275434181611263,1,"ENSG00000171522","PTGER4",8.58029,8.063,8.70123,4.04079,4.04286,4.30112
"310","ENST00000394053.6",21.2514047838436,4.02815045039814e-06,0.000597608604400842,2.11066521302901,0.420850326923797,0.00128271568200488,7.79769129338097,0.422133042605802,0.420850326923797,0.0341973553140901,0.420850326923797,1,"ENSG00000065911","MTHFD2",11.5047,14.7163,13.7774,51.5476,53.1893,59.2283
"311","ENST00000314355.6",21.2452004441291,4.04121015692831e-06,0.00059761831616492,1.46642736930627,0.29187571692691,0.00140975693434391,6.60379614635774,0.293285473861254,0.29187571692691,0.0404940019736722,0.29187571692691,1,"ENSG00000123975","CKS2",35.0608,36.2605,41.3377,125.87,125.269,130.922
"312","ENST00000367048.4",21.2300061219445,4.07337288191984e-06,0.000598095469190515,1.70500941804459,0.337428347889653,0.00357353571926521,6.9921032062197,0.341001883608919,0.337428347889653,0.0372818090149432,0.337428347889653,1,"ENSG00000120437","ACAT2",8.4457,9.49811,8.7265,35.0904,33.9959,28.8228
"313","ENST00000499869.6",21.2191807292908,4.09644421636061e-06,0.000598095469190515,1.05935309493427,0.210572080126783,0.00129853886007118,7.9070411569962,0.211870618986855,0.210572080126783,0.0341238882981701,0.210572080126783,1,"ENSG00000071127","WDR1",30.0169,24.3679,23.5759,72.8362,78.3185,76.2728
"314","ENST00000160827.8",21.231089720738,4.07107068176846e-06,0.000598095469190515,4.63962296994234,0.926012062811664,0.00191253117680431,6.27569710990425,0.927924593988469,0.926012062811664,0.0440452672365784,0.926012062811664,1,"ENSG00000079616","KIF22",6.18825,4.71605,3.58796,33.971,37.0479,31.658
"315","ENST00000565644.5",21.2191755729864,4.09645523678572e-06,0.000598095469190515,6.54747497271512,1.30636940337065,0.00312559117237073,7.8216182011202,1.30949499454302,1.30636940337065,0.0341744011670442,1.30636940337065,1,"ENSG00000103257","SLC7A5",14.2831,8.54891,7.61495,100.809,95.0476,97.7563
"316","ENST00000263256.6",21.1727610198902,4.19687109492536e-06,0.000606975781530541,1.55684627572328,0.308885627067423,0.00248362807723234,6.72522136006248,0.311369255144655,0.308885627067423,0.0393716566985336,0.308885627067423,1,"ENSG00000100418","DESI1",6.86755,5.52292,4.98261,19.5297,20.4397,20.2831
"317","ENST00000308249.3",21.1758840887275,4.19003762657468e-06,0.000606975781530541,3.60370722257157,0.709614977051467,0.0111264674628482,5.10045324671312,0.720741444514315,0.709614977051467,0.0780468908418021,0.709614977051467,1,"ENSG00000175175","PPM1E",0.506044,0.546552,0.445597,2.93116,2.89555,3.17132
"318","ENST00000369799.9",21.1822232993268,4.17620135445702e-06,0.000606975781530541,1.14749457243156,0.228920341920237,0.000578572566075003,7.97532360758393,0.229498914486313,0.228920341920237,0.0341188669101109,0.228920341920237,1,"ENSG00000168710","AHCYL1",18.6074,21.9707,21.2109,63.3695,61.0578,62.1972
"319","ENST00000357654.7",21.1636410726336,4.21689018704103e-06,0.000607959236966157,4.35419358247469,0.851066961355189,0.0197717551397494,5.49180798092407,0.870838716494939,0.851066961355189,0.0623991945045301,0.851066961355189,1,"ENSG00000012048","BRCA1",0.597169,0.612311,0.691662,3.70802,4.38528,5.19142
"320","ENST00000261182.12",21.1356020633229,4.27904050808145e-06,0.000614991725022419,4.54981673623013,0.907226929596751,0.00273641764927623,7.23524337795146,0.909963347246028,0.907226929596751,0.0358630046918626,0.907226929596751,1,"ENSG00000187109","NAP1L1",4.57236,6.1364,6.82829,41.0326,38.0332,44.2001
"321","ENST00000326495.9",21.1295151753552,4.2926534728094e-06,0.000615026248809897,1.15003891921491,0.226907255533101,0.00310052830988012,6.74038123691045,0.230007783842981,0.226907255533101,0.0392371515892566,0.226907255533101,1,"ENSG00000084112","SSH1",4.59186,4.26448,4.08477,2.26731,2.39243,2.22938
"322","ENST00000370994.8",21.1191278013932,4.31598466108332e-06,0.000616448604185972,2.44829480408605,0.488271176072442,0.0013877847447673,7.32772868764425,0.48965896081721,0.488271176072442,0.035437635611001,0.488271176072442,1,"ENSG00000142864","SERBP1",4.46202,5.97656,5.4233,24.293,21.9964,24.6751
"323","ENST00000530167.1",21.0862496145696,4.39067488913607e-06,0.000619421867565205,2.67728080620159,0.528546445858774,0.00690971538154403,5.64863117039426,0.535456161240319,0.528546445858774,0.0573463822562054,0.528546445858774,1,"ENSG00000188486","H2AFX",4.67546,3.99649,3.69552,17.6331,22.2917,19.6077
"324","ENST00000445132.2",21.0868669232241,4.38926065396388e-06,0.000619421867565205,1.37042313996644,0.27218895414188,0.00189567385140783,6.75430700603989,0.274084627993287,0.27218895414188,0.0391153228131451,0.27218895414188,1,"ENSG00000121807","CCR2",24.2428,28.5886,24.3222,12.5398,12.0211,13.5843
"325","ENST00000608872.5",21.0925940862007,4.37616167439927e-06,0.000619421867565205,0.883768515017867,0.175055866374526,0.00169783662904772,7.13277957568183,0.176753703003574,0.175055866374526,0.0364069095541907,0.175055866374526,1,"ENSG00000119402","FBXW2",4.17717,3.89809,3.9938,11.0833,10.713,11.3766
"326","ENST00000253039.8",21.0896764475523,4.38282989257884e-06,0.000619421867565205,1.5651167983209,0.312953005001923,7.03546622573186e-05,9.22131017767004,0.313023359664182,0.312953005001923,0.0400159481578973,0.312953005001923,1,"ENSG00000130741","EIF2S3",83.0717,100.407,100.742,323.12,320.528,346.311
"327","ENST00000372004.7",21.0368700298136,4.50529604421676e-06,0.000631716677956015,2.19101201602393,0.436046631186958,0.00215577201782766,7.86927925760783,0.438202403204785,0.436046631186958,0.0341401601398619,0.436046631186958,1,"ENSG00000124151","NCOA3",22.627,26.9382,28.1354,10.0523,9.0024,11.0495
"328","ENST00000399312.2",21.03819570543,4.50217997051969e-06,0.000631716677956015,1.29739349654187,0.257687270099485,0.00179142920888796,6.83928373660195,0.259478699308373,0.257687270099485,0.0384072170087909,0.257687270099485,1,"ENSG00000243927","MRPS6",65.9187,71.2257,75.4179,36.2525,36.8241,34.7831
"329","ENST00000446050.6",20.9639707602916,4.68002399946768e-06,0.000647541400080273,6.91030870412459,1.37601173227895,0.0060500085459712,5.85129822742105,1.38206174082492,1.37601173227895,0.0515783653093595,1.37601173227895,1,"ENSG00000163536","SERPINI1",20.0126,22.1113,30.4936,3.8547,2.93108,4.30982
"330","ENST00000317968.8",20.9604821985884,4.6885539828821e-06,0.000647541400080273,1.29161602568012,0.254635698748552,0.0036875063874713,6.4204400949894,0.258323205136023,0.254635698748552,0.0423400992862224,0.254635698748552,1,"ENSG00000163110","PDLIM5",6.97461,7.05074,6.80688,3.59316,3.59785,3.3484
"331","ENST00000367511.3",20.9829459486219,4.63389921846019e-06,0.000647541400080273,1.13214914783286,0.225581485031321,0.000848344535250626,6.97292744144073,0.226429829566571,0.225581485031321,0.0374128525575045,0.225581485031321,1,"ENSG00000135842","FAM129A",4.28826,4.07842,4.63683,13.5297,12.1215,13.605
"332","ENST00000331244.9",20.9719172545986,4.66065189316506e-06,0.000647541400080273,1.76624965463209,0.352322978143213,0.000926952783205679,7.21539619210365,0.353249930926419,0.352322978143213,0.035962340629765,0.352322978143213,1,"ENSG00000108010","GLRX3",24.8836,28.8591,31.248,109.614,99.0631,106.498
"333","ENST00000569031.6",20.9641495720836,4.67958720140989e-06,0.000647541400080273,8.42942674937106,1.6156241589771,0.0702611908971122,5.3130104599711,1.68588534987421,1.6156241589771,0.0687890099528623,1.6156241589771,1,"ENSG00000234465","PINLYP",4.63911,6.15327,6.72064,80.6511,74.9179,79.1913
"334","ENST00000323468.9",20.9429834737356,4.73157662153124e-06,0.000649581911644308,5.42367075606048,1.04047171411569,0.044262437096409,5.61394758809521,1.0847341512121,1.04047171411569,0.0584376441682085,1.04047171411569,1,"ENSG00000178202","KDELC2",1.28144,0.894492,1.07439,9.23221,8.57977,9.54901
"335","ENST00000347703.7",20.9471910071479,4.72119587146144e-06,0.000649581911644308,3.64119177120987,0.721030722420954,0.00720763182101931,6.34536377064075,0.728238354241974,0.721030722420954,0.0431888918990455,0.721030722420954,1,"ENSG00000144354","CDCA7",4.21049,6.05339,4.03193,26.685,27.8403,28.944
"336","ENST00000429976.5",20.9319314804042,4.75895313856033e-06,0.000649900159497326,2.72339206714387,0.538708899566874,0.00596951386190024,5.3641953265205,0.544678413428773,0.538708899566874,0.0668622842260028,0.538708899566874,1,"ENSG00000168016","TRANK1",1.86196,1.76789,1.52263,0.585974,0.610841,0.517568
"337","ENST00000374523.8",20.9148251986999,4.80164030849875e-06,0.000649900159497326,6.78290801789998,1.35329724662949,0.00328435695050424,5.94610932834063,1.35658160358,1.35329724662949,0.0494444048339905,1.35329724662949,1,"ENSG00000204197","KIFC1",3.11361,2.17821,1.55493,23.3507,23.3356,21.8539
"338","ENST00000439696.2",20.9003217579413,4.83813321451569e-06,0.000649900159497326,1.46058970938834,0.289177769112009,0.00294017276565847,6.32579985002355,0.292117941877666,0.289177769112009,0.0434220910115539,0.289177769112009,1,"ENSG00000185650","ZFP36L1",13.6296,13.119,11.0895,5.66476,6.41871,5.99255
"339","ENST00000371485.7",20.8960148674872,4.84902352552307e-06,0.000649900159497326,4.05605602390736,0.807796329592455,0.00341487518901685,5.79717455422642,0.811211204781473,0.807796329592455,0.0529519361378165,0.807796329592455,1,"ENSG00000138180","CEP55",2.08394,2.28305,3.09074,15.6677,15.1902,16.7438
"340","ENST00000260970.7",20.9191814142209,4.79073343618206e-06,0.000649900159497326,2.21125926758275,0.439483527468676,0.00276832604787462,6.22204113922164,0.442251853516552,0.439483527468676,0.0447587482504613,0.439483527468676,1,"ENSG00000138398","PPIG",1.64765,1.88745,2.13066,8.05839,7.36111,8.46567
"341","ENST00000383807.5",20.8912604513974,4.86107401159096e-06,0.000649900159497326,3.42850015687772,0.673291994548677,0.0124080368268674,6.07911467792665,0.685700031375545,0.673291994548677,0.0469428283968129,0.673291994548677,1,"ENSG00000144554","FANCD2",1.46616,1.835,2.02623,9.55878,9.47738,11.0425
"342","ENST00000229769.2",20.8944111339593,4.85308497480132e-06,0.000649900159497326,3.54986023075511,0.704785319948462,0.00518672620256096,5.55334067298245,0.709972046151023,0.704785319948462,0.0603756956059199,0.704785319948462,1,"ENSG00000112039","FANCE",2.34729,2.44482,1.5889,11.9546,12.972,11.7078
"343","ENST00000230461.10",20.9042506011922,4.82822023573175e-06,0.000649900159497326,0.791545123991471,0.156440695574452,0.00186832922384244,9.04688152645485,0.158309024798295,0.156440695574452,0.0384255664172591,0.156440695574452,1,"ENSG00000112697","TMEM30A",57.7807,57.222,53.1313,149.442,141.937,151.864
"344","ENST00000326004.4",20.9171462768735,4.7958258122174e-06,0.000649900159497326,1.09540438630318,0.218575764110011,0.000505113150624548,7.84607342564743,0.219080877260636,0.218575764110011,0.0341549220926566,0.218575764110011,1,"ENSG00000189403","HMGB1",89.872,105.27,102.287,291.528,282.448,306.961
"345","ENST00000334478.8",20.869841368232,4.91573635363869e-06,0.000655303277217962,0.801345950467205,0.160016096075181,0.000253094018259722,8.69805661120852,0.160269190093441,0.160016096075181,0.0360582832834013,0.160016096075181,1,"ENSG00000123349","PFDN5",715.283,792.65,752.988,476.212,446.618,475.129
"346","ENST00000398136.6",20.8479987433672,4.97211497138311e-06,0.000657104998991036,2.5236228691717,0.485781202501832,0.0189433713325072,7.48347472831731,0.50472457383434,0.485781202501832,0.0348582923399667,0.485781202501832,1,"ENSG00000152558","TMEM123",12.7519,11.7259,10.0114,54.4228,57.5389,47.2125
"347","ENST00000216117.8",20.8511293831184,4.96399472121297e-06,0.000657104998991036,14.2368514081783,2.80528161116701,0.0420886704686467,4.12033444481959,2.84737028163565,2.80528161116701,0.205564914220986,2.80528161116701,1,"ENSG00000100292","HMOX1",8.6932,6.41861,6.28573,0.323991,0.448603,0.450631
