Gene,D1,D2,D3,V1,V2,V3
SLC7A5,14.2831,8.54891,7.61495,100.809,95.0476,97.7563
DESI1,6.86755,5.52292,4.98261,19.5297,20.4397,20.2831
PPM1E,0.506044,0.546552,0.445597,2.93116,2.89555,3.17132
AHCYL1,18.6074,21.9707,21.2109,63.3695,61.0578,62.1972
BRCA1,0.597169,0.612311,0.691662,3.70802,4.38528,5.19142
NAP1L1,4.57236,6.1364,6.82829,41.0326,38.0332,44.2001
SSH1,4.59186,4.26448,4.08477,2.26731,2.39243,2.22938
SERBP1,4.46202,5.97656,5.4233,24.293,21.9964,24.6751
H2AFX,4.67546,3.99649,3.69552,17.6331,22.2917,19.6077
CCR2,24.2428,28.5886,24.3222,12.5398,12.0211,13.5843
FBXW2,4.17717,3.89809,3.9938,11.0833,10.713,11.3766
EIF2S3,83.0717,100.407,100.742,323.12,320.528,346.311
NCOA3,22.627,26.9382,28.1354,10.0523,9.0024,11.0495
MRPS6,65.9187,71.2257,75.4179,36.2525,36.8241,34.7831
SERPINI1,20.0126,22.1113,30.4936,3.8547,2.93108,4.30982
PDLIM5,6.97461,7.05074,6.80688,3.59316,3.59785,3.3484
FAM129A,4.28826,4.07842,4.63683,13.5297,12.1215,13.605
GLRX3,24.8836,28.8591,31.248,109.614,99.0631,106.498
PINLYP,4.63911,6.15327,6.72064,80.6511,74.9179,79.1913
KDELC2,1.28144,0.894492,1.07439,9.23221,8.57977,9.54901
CDCA7,4.21049,6.05339,4.03193,26.685,27.8403,28.944
TRANK1,1.86196,1.76789,1.52263,0.585974,0.610841,0.517568
KIFC1,3.11361,2.17821,1.55493,23.3507,23.3356,21.8539
ZFP36L1,13.6296,13.119,11.0895,5.66476,6.41871,5.99255
CEP55,2.08394,2.28305,3.09074,15.6677,15.1902,16.7438
PPIG,1.64765,1.88745,2.13066,8.05839,7.36111,8.46567
FANCD2,1.46616,1.835,2.02623,9.55878,9.47738,11.0425
FANCE,2.34729,2.44482,1.5889,11.9546,12.972,11.7078
TMEM30A,57.7807,57.222,53.1313,149.442,141.937,151.864
HMGB1,89.872,105.27,102.287,291.528,282.448,306.961
PFDN5,715.283,792.65,752.988,476.212,446.618,475.129
TMEM123,12.7519,11.7259,10.0114,54.4228,57.5389,47.2125
HMOX1,8.6932,6.41861,6.28573,0.323991,0.448603,0.450631
SEMA4A,5.0684,5.15784,4.01549,18.1785,21.626,19.643
NASP,1.43715,1.66044,1.44445,8.7017,7.96306,8.94424
SAR1A,8.51661,10.7155,9.86438,34.0967,33.7061,33.4556
DCAF12,60.3959,63.2,62.4058,40.4366,40.4848,39.7924
LMNB1,28.9141,30.0644,34.2586,94.1614,89.7339,99.6814
SLC37A2,37.196,27.7355,23.0365,9.39218,9.23993,8.90277
PM20D2,8.03598,9.65258,10.7136,43.0656,39.1316,44.8552
TUBA4A,1.22394,1.20504,0.903399,9.11375,8.28837,9.62739
DRAM1,21.7287,23.0075,22.2056,13.7,12.2991,13.8119
GPR82,8.23945,11.7916,12.9631,1.47661,1.49972,2.03268
ORAI3,22.283,25.8187,30.7295,5.57673,5.45163,6.06137
CCND2,8.1578,7.78122,7.65931,19.6439,20.4262,22.6684
XPO5,18.3125,18.298,15.5825,45.1324,43.2986,44.1474
KBTBD11,4.01364,4.05363,4.34546,11.7281,11.3032,12.1735
KBTBD11,4.01364,4.05363,4.34546,11.7281,11.3032,12.1735
EPB41L2,7.20132,8.76063,6.4692,30.1435,26.4626,32.1077
MYO5A,6.00362,5.54892,6.19496,3.18414,2.99948,2.88501
ATAD5,0.626257,0.742605,0.61883,3.61936,2.99658,4.1286
ACACA,7.01213,5.53108,5.7198,17.7529,17.2376,19.2498
MTFR1,1.75741,2.15894,1.99956,11.4078,10.0237,10.9528
